Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
France,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,         234345.20,8.05702e+007,Kg
Germany,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,         228563.00,7.78455e+007,Kg
Switzerland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,         129090.29,3.80881e+007,Kg
Ireland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,         116534.67,4.56244e+007,Kg
European Union,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,         110938.58,2.98726e+007,Kg
Belgium,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          98856.07,3.05794e+007,Kg
United Kingdom,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          49194.34,1.01557e+007,Kg
Austria,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          38460.84,1.39266e+007,Kg
United States,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          37080.73,1.05984e+007,Kg
Canada,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          29418.74,6.24081e+006,Kg
Turkey,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          27613.28,1.4165e+007,Kg
Netherlands,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          19779.08,3.97907e+006,Kg
Sweden,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          15653.34,4.57186e+006,Kg
Spain,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          14290.12,6.9521e+006,Kg
Mexico,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,          12915.71,6.60062e+006,Kg
Poland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,           9289.00,4.33333e+006,Kg
Indonesia,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,           9156.53,5.23436e+006,Kg
Chile,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,           9125.10,2.99461e+006,Kg
Norway,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,           9071.01,2.07086e+006,Kg
"Hong Kong, China",Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,           8828.63,722174,Kg
Italy,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2000, World,           7904.40,1.65989e+006,Kg
