Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Germany,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,         465182.00,1.01918e+008,Kg
Netherlands,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,         454364.73,1.41065e+008,Kg
European Union,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,         298213.54,7.37531e+007,Kg
Canada,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,         127276.22,3.25617e+007,Kg
United States,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          99620.80,2.80858e+007,Kg
Austria,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          96735.82,2.21264e+007,Kg
Russian Federation,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          91907.58,2.94113e+007,Kg
France,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          79464.31,2.1044e+007,Kg
United Kingdom,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          65575.73,1.28855e+007,Kg
Italy,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          59264.26,1.15802e+007,Kg
Belgium,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          48756.69,8.88117e+006,Kg
Switzerland,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          46240.30,6.69091e+006,Kg
Australia,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          39234.35,9.44344e+006,Kg
Poland,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          35133.09,1.31139e+007,Kg
Malaysia,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          32127.90,1.8502e+007,Kg
Ireland,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          26699.31,5.24552e+006,Kg
Slovak Republic,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          25235.72,8.92327e+006,Kg
Sweden,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          24094.54,4.05355e+006,Kg
Denmark,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          21271.46,3.13227e+006,Kg
"Hong Kong, China",Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          17296.95,1.5265e+006,Kg
Czech Republic,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          16026.78,6.33716e+006,Kg
Brazil,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          15246.70,5.25817e+006,Kg
Singapore,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          13204.14,2.11334e+006,Kg
Lithuania,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          12637.17,3.49603e+006,Kg
Croatia,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          12595.22,3.58819e+006,Kg
Chile,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,          10137.11,4364,Kg
China,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           9959.99,3.36911e+006,Kg
Finland,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           8390.65,1.42543e+006,Kg
Japan,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           7901.87,836224,Kg
"Serbia, FR(Serbia/Montenegro)",Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           7465.27,2.03759e+006,Kg
Hungary,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           7426.00,1.7941e+006,Kg
Norway,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           6740.27,1.03956e+006,Kg
Oman,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           5189.86,2.21807e+006,Kg
Trinidad and Tobago,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           5006.13,1.17263e+006,Kg
Turkey,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           4796.46,2.40422e+006,Kg
Estonia,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           4131.01,1.11479e+006,Kg
Lebanon,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           3927.91,450512,Kg
Colombia,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           3840.22,821131,Kg
Ukraine,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           3729.65,1.40132e+006,Kg
Kuwait,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           3278.59,703823,Kg
Ecuador,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           3195.26,381189,Kg
Latvia,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           3097.34,785731,Kg
Jordan,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           3023.86,1.34369e+006,Kg
New Zealand,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           2549.54,969463,Kg
South Africa,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           2453.82,1.01717e+006,Kg
Luxembourg,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           1950.26,250794,Kg
Saudi Arabia,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           1833.91,701000,Kg
Panama,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           1689.81,217712,Kg
"Iran, Islamic Rep.",Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           1677.41,828210,Kg
Mexico,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           1474.91,205058,Kg
"Korea, Rep.",Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           1412.38,296917,Kg
Argentina,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,           1040.80,383748,Kg
Romania,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,            948.69,227855,Kg
Bulgaria,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,            929.76,551976,Kg
Namibia,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,            929.74,252134,Kg
Tunisia,Export,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",2006, World,            904.74,293849,Kg
