Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Netherlands,Export,180400,"Cocoa; butter, fat and oil",2014, World,        1653993.51,2.34001e+008,Kg
Indonesia,Export,180400,"Cocoa; butter, fat and oil",2014, World,         660783.64,9.94827e+007,Kg
Malaysia,Export,180400,"Cocoa; butter, fat and oil",2014, World,         625383.32,1.02765e+008,Kg
Germany,Export,180400,"Cocoa; butter, fat and oil",2014, World,         494806.53,7.33719e+007,Kg
Cote d'Ivoire,Export,180400,"Cocoa; butter, fat and oil",2014, World,         463098.55,8.96471e+007,Kg
European Union,Export,180400,"Cocoa; butter, fat and oil",2014, World,         453956.27,6.34731e+007,Kg
France,Export,180400,"Cocoa; butter, fat and oil",2014, World,         416388.88,5.74528e+007,Kg
Ghana,Export,180400,"Cocoa; butter, fat and oil",2014, World,         220334.67,4.09874e+007,Kg
Singapore,Export,180400,"Cocoa; butter, fat and oil",2014, World,         190526.53,2.96188e+007,Kg
Nigeria,Export,180400,"Cocoa; butter, fat and oil",2014, World,         145967.49,3.64919e+007,Kg
United States,Export,180400,"Cocoa; butter, fat and oil",2014, World,         136974.57,3.9186e+007,Kg
Brazil,Export,180400,"Cocoa; butter, fat and oil",2014, World,         117461.52,1.68092e+007,Kg
China,Export,180400,"Cocoa; butter, fat and oil",2014, World,         104886.42,1.56736e+007,Kg
Estonia,Export,180400,"Cocoa; butter, fat and oil",2014, World,          81976.11,1.28359e+007,Kg
Spain,Export,180400,"Cocoa; butter, fat and oil",2014, World,          80762.69,1.16552e+007,Kg
United Kingdom,Export,180400,"Cocoa; butter, fat and oil",2014, World,          76148.01,1.26173e+007,Kg
Peru,Export,180400,"Cocoa; butter, fat and oil",2014, World,          48640.16,7.04309e+006,Kg
India,Export,180400,"Cocoa; butter, fat and oil",2014, World,          47495.09,6.77483e+006,Kg
Ecuador,Export,180400,"Cocoa; butter, fat and oil",2014, World,          46559.79,6.41286e+006,Kg
Thailand,Export,180400,"Cocoa; butter, fat and oil",2014, World,          36549.02,5.59889e+006,Kg
Cameroon,Export,180400,"Cocoa; butter, fat and oil",2014, World,          35092.45,1.00554e+007,Kg
Mexico,Export,180400,"Cocoa; butter, fat and oil",2014, World,          31296.81,4.76568e+006,Kg
Italy,Export,180400,"Cocoa; butter, fat and oil",2014, World,          26682.91,3.70664e+006,Kg
Colombia,Export,180400,"Cocoa; butter, fat and oil",2014, World,          21771.37,3.16553e+006,Kg
Poland,Export,180400,"Cocoa; butter, fat and oil",2014, World,          21350.55,2.91302e+006,Kg
Turkey,Export,180400,"Cocoa; butter, fat and oil",2014, World,          18916.63,2.76473e+006,Kg
Belgium,Export,180400,"Cocoa; butter, fat and oil",2014, World,          11126.24,1.38472e+006,Kg
Dominican Republic,Export,180400,"Cocoa; butter, fat and oil",2014, World,           8926.35,1.23912e+006,Kg
Canada,Export,180400,"Cocoa; butter, fat and oil",2014, World,           8589.46,1.17281e+006,Kg
Algeria,Export,180400,"Cocoa; butter, fat and oil",2014, World,           7727.39,1.381e+006,Kg
Philippines,Export,180400,"Cocoa; butter, fat and oil",2014, World,           4271.34,644756,Kg
Bulgaria,Export,180400,"Cocoa; butter, fat and oil",2014, World,           3980.19,528307,Kg
"Iran, Islamic Rep.",Export,180400,"Cocoa; butter, fat and oil",2014, World,           2030.22,580220,Kg
"Serbia, FR(Serbia/Montenegro)",Export,180400,"Cocoa; butter, fat and oil",2014, World,           1542.91,382215,Kg
