Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Cote d'Ivoire,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,        1617484.75,1.06064e+009,Kg
Indonesia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,         369863.00,2.75484e+008,Kg
Cameroon,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,         230141.24,1.69772e+008,Kg
Belgium,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,         200499.11,1.14723e+008,Kg
Estonia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,         105418.85,5.419e+007,Kg
Ecuador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,         102364.23,7.01949e+007,Kg
Papua New Guinea,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          56674.41,2.14217e+009,Kg
Dominican Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          48570.23,3.64956e+007,Kg
United States,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          47695.95,2.99859e+007,Kg
Netherlands,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          27009.40,1.57012e+007,Kg
European Union,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          25984.41,1.38439e+007,Kg
Togo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          24710.31,2.86625e+007,Kg
Venezuela,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          17208.46,8.3103e+006,Kg
France,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          13824.55,4.9031e+006,Kg
Malaysia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          13757.06,9.4073e+006,Kg
United Kingdom,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,          13634.68,8.68185e+006,Kg
Germany,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           9293.00,5.4033e+006,Kg
Singapore,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           8855.21,6.02761e+006,Kg
Tanzania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           6884.77,4.53466e+006,Kg
Uganda,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           6801.12,5.15439e+006,Kg
Guinea,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           6573.02,9.61379e+006,Kg
Madagascar,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           6031.49,4.32205e+006,Kg
Sao Tome and Principe,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           3192.22,2.51011e+006,Kg
Trinidad and Tobago,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           2325.64,2.65492e+006,Kg
Grenada,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           2037.85,796600,Kg
Brazil,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           1874.92,1.11162e+006,Kg
Cuba,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           1716.90,875760,Kg
Peru,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           1705.01,1.00899e+006,Kg
Czech Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           1531.01,535329,Kg
Panama,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,           1032.42,595252,Kg
Jamaica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            939.71,407541,Kg
Canada,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            908.14,370000,Kg
Costa Rica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            701.60,496910,Kg
Nicaragua,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            556.59,813750,Kg
Turkey,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            503.56,251350,Kg
Bolivia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            485.73,241475,Kg
Thailand,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            453.44,250000,Kg
Switzerland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            298.82,96798,Kg
Italy,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            240.78,237265,Kg
Spain,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            236.51,106557,Kg
Japan,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            161.40,353335,Kg
Philippines,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,            112.18,97136,Kg
Saudi Arabia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,             96.80,17000,Kg
Croatia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,             85.57,45904,Kg
Sri Lanka,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,             62.27,46360,Kg
Belize,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,             61.41,30780,Kg
Burkina Faso,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,             41.61,285706,Kg
Fiji,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,             38.52,18355,Kg
Namibia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2004, World,             27.75,17450,Kg
