Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
European Union,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,        4316162.90,1.50332e+009,Kg
Netherlands,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,        1747822.25,6.55001e+008,Kg
United States,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,        1228058.77,4.42374e+008,Kg
Germany,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         974778.85,3.60307e+008,Kg
Malaysia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         769420.88,2.90015e+008,Kg
United Kingdom,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         554936.14,1.93912e+008,Kg
France,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         491696.19,1.63549e+008,Kg
Belgium,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         432394.59,1.46647e+008,Kg
Spain,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         244854.05,8.76334e+007,Kg
Singapore,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         209079.41,8.05751e+007,Kg
Italy,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         207093.21,7.3275e+007,Kg
Brazil,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         178166.62,7.3989e+007,Kg
Turkey,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         171672.08,5.86104e+007,Kg
Russian Federation,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         161428.72,5.17481e+007,Kg
Canada,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         149250.68,5.48797e+007,Kg
Japan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         142286.27,5.06247e+007,Kg
Switzerland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         128123.41,3.99047e+007,Kg
Estonia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         115033.18,3.87199e+007,Kg
Indonesia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          76312.43,2.723e+007,Kg
Ukraine,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          60512.49,1.58237e+007,Kg
Austria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          54420.78,1.82319e+007,Kg
Thailand,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          53833.77,1.91615e+007,Kg
China,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          52891.77,2.10437e+007,Kg
Poland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          30286.58,1.10183e+007,Kg
Kazakhstan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          26632.49,7.28566e+006,Kg
Ireland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          24519.43,8.13978e+006,Kg
Belarus,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          24512.50,6.76601e+006,Kg
India,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          23687.49,8.37483e+006,Kg
Tunisia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          20813.13,7.11162e+006,Kg
Colombia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          15086.43,5.68661e+006,Kg
Greece,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          13181.92,5.47594e+006,Kg
"Korea, Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          12636.67,4.08671e+006,Kg
Mexico,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          11701.95,4.05849e+006,Kg
Denmark,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           8665.25,2.6541e+006,Kg
"Serbia, FR(Serbia/Montenegro)",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           8659.57,2.39499e+006,Kg
Algeria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           8595.11,2.91613e+006,Kg
Croatia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           7333.46,2.11994e+006,Kg
Sri Lanka,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           6365.63,2.12783e+006,Kg
Latvia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           5348.62,1.61517e+006,Kg
Israel,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           4142.00,1.24124e+006,Kg
Armenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           3578.33,1.19693e+006,Kg
New Zealand,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           3520.28,1.13309e+006,Kg
Nigeria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           1995.51,674093,Kg
Argentina,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           1203.91,379566,Kg
El Salvador,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           1102.16,819458,Kg
Australia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            823.65,179608,Kg
Guatemala,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            400.02,453154,Kg
Panama,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            354.88,225164,Kg
Peru,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            317.39,100050,Kg
Slovenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            317.21,98901,Kg
